id,datatime,temperature,ph,od,ce,tds,s,opr,position
180,2020-07-31 10:47:28.541944-04,15.812000000000001,6.997999999999999,0.0,135.3,73,0.0,1020.0,"{'lat': -25.2958561, 'lon': -57.3289559, 'alt': -0.015, 'yaw': -2.9156410694122314}"
181,2020-07-31 10:47:40.449977-04,15.812000000000001,7.0,0.0,135.8,73,0.0,1020.0,"{'lat': -25.2959829, 'lon': -57.3289789, 'alt': 0.001, 'yaw': -2.661883592605591}"
182,2020-07-31 10:47:52.388093-04,15.812000000000001,6.999,0.0,135.1,72,0.0,1020.0,"{'lat': -25.2961007, 'lon': -57.3290236, 'alt': 0.011, 'yaw': -2.691927909851074}"
183,2020-07-31 10:48:04.318673-04,15.812000000000001,6.999,0.0,128.8,69,0.0,1020.0,"{'lat': -25.2962202, 'lon': -57.3290839, 'alt': 0.013, 'yaw': -2.7215933799743652}"
184,2020-07-31 10:48:16.22133-04,15.812000000000001,6.997000000000001,0.0,135.9,73,0.0,1020.0,"{'lat': -25.2963448, 'lon': -57.3291246, 'alt': -0.008, 'yaw': -2.736042022705078}"
185,2020-07-31 10:48:28.14924-04,15.812000000000001,7.0,0.0,136.0,73,0.0,1020.0,"{'lat': -25.2964478, 'lon': -57.3291676, 'alt': 0.0, 'yaw': -2.750239849090576}"
186,2020-07-31 10:48:40.06168-04,15.875,6.999,0.0,136.7,73,0.0,1020.0,"{'lat': -25.2965718, 'lon': -57.3292094, 'alt': 0.004, 'yaw': -2.7845590114593506}"
187,2020-07-31 10:48:51.987575-04,15.875,7.0,0.0,135.4,73,0.0,1020.0,"{'lat': -25.2966928, 'lon': -57.3292546, 'alt': 0.011, 'yaw': -3.036503791809082}"
188,2020-07-31 10:49:03.925116-04,15.937000000000001,6.999,0.0,137.0,74,0.0,1020.0,"{'lat': -25.2968207, 'lon': -57.3292848, 'alt': 0.007, 'yaw': -2.9127912521362305}"
189,2020-07-31 10:49:15.823848-04,15.937000000000001,6.999,0.0,137.6,74,0.0,1020.0,"{'lat': -25.2969472, 'lon': -57.3293136, 'alt': -0.013, 'yaw': -2.8368043899536133}"
190,2020-07-31 10:49:27.770517-04,15.937000000000001,6.999,0.0,137.5,74,0.0,1020.0,"{'lat': -25.2970697, 'lon': -57.3293626, 'alt': 0.022, 'yaw': -2.8534858226776123}"
